"Six Digit Industries","Year","Capital productivity (2007=100)","Capital productivity (percent change)","Capital (2007=100)","Capital (percent change)","Capital costs (Million $)","Capital costs (percent change)","Capital cost share","Capital cost share (percent change)","Capital intensity (2007=100)","Capital intensity (percent change)","Contribution of capital intensity (2007=100)","Contribution of capital intensity (percent change)","Labor productivity (2007=100)","Labor productivity (percent change)","Hours worked (2007=100)","Hours worked (percent change)","Labor compensation (Million $)","Labor compensation (percent change)","Labor cost share","Labor cost share (percent change)","Hours worked (millions)","Hours worked (percent change)","Multifactor productivity (2007=100)","Multifactor productivity (percent change)","Combined inputs (2007=100)","Combined inputs (percent change)","Combined inputs costs (Million $)","Combined inputs costs (percent change)","Implicit combined inputs deflator (2007=100)","Implicit combined inputs deflator (percent change)","Intermediate purchases productivity (2007=100)","Intermediate purchases productivity (percent change)","Intermediate purchases (2007=100)","Intermediate purchases (percent change)","Intermediate purchases costs (Million $)","Intermediate purchases costs (percent change)","Intermediate purchases cost share","Intermediate purchases cost share (percent change)","Intermediate purchases to hours ratio (2007=100)","Intermediate purchases to hours ratio (percent change)","Contribution of intermediate purchases intensity (2007=100)","Contribution of intermediate purchases intensity (percent change)","Output (2007=100)","Output (percent change)","Implicit output deflator (2007=100)","Implicit output deflator (percent change)","Value of production (Million $)","Value of production (percent change)","Unit labor costs (2007=100)","Unit labor costs (percent change)","Labor compensation (2007=100)","Labor compensation (percent change)","Hourly compensation (2007=100)","Hourly compensation (percent change)","Output per employee (2007=100)","Output per employee (percent change)","Employment (2007=100)","Employment (percent change)","Employment (thousands)","Employment (percent change)"
453210 - Office supplies and stationery stores,1996,,,,,,,,,,,,,34.342,0.3,119.415,5.3,4925.451,8.4,,,337.899,5.3,,,,,,,,,,,,,,,,,,,,,41.009,5.6,163.855,-0.4,15592.000,5.2,190.696,2.7,78.202,8.4,65.488,3.0,39.183,2.0,104.661,3.5,181.900,3.5
453210 - Office supplies and stationery stores,1997,,,,,,,,,,,,,37.314,8.7,126.235,5.7,5406.556,9.8,,,357.198,5.7,,,,,,,,,,,,,,,,,,,,,47.104,14.9,158.592,-3.2,17334.000,11.2,182.237,-4.4,85.841,9.8,68.001,3.8,43.247,10.4,108.918,4.1,189.300,4.1
453210 - Office supplies and stationery stores,1998,,,,,,,,,,,,,42.445,13.8,135.064,7.0,5898.907,9.1,,,382.180,7.0,,,,,,,,,,,,,,,,,,,,,57.328,21.7,146.756,-7.5,19522.000,12.6,163.373,-10.4,93.658,9.1,69.343,2.0,49.619,14.7,115.535,6.1,200.800,6.1
453210 - Office supplies and stationery stores,1999,,,,,,,,,,,,,48.491,14.2,141.625,4.9,6402.335,8.5,,,400.745,4.9,,,,,,,,,,,,,,,,,,,,,68.676,19.8,135.546,-7.6,21600.000,10.6,148.016,-9.4,101.651,8.5,71.775,3.5,57.191,15.3,120.081,3.9,208.700,3.9
453210 - Office supplies and stationery stores,2000,,,,,,,,,,,,,54.183,11.7,138.437,-2.3,6839.741,6.8,,,391.725,-2.3,,,,,,,,,,,,,,,,,,,,,75.009,9.2,130.697,-3.6,22748.000,5.3,144.777,-2.2,108.596,6.8,78.444,9.3,60.187,5.2,124.626,3.8,216.600,3.8
453210 - Office supplies and stationery stores,2001,,,,,,,,,,,,,56.986,5.2,126.135,-8.9,6429.983,-6.0,,,356.915,-8.9,,,,,,,,,,,,,,,,,,,,,71.879,-4.2,125.218,-4.2,20885.000,-8.2,142.030,-1.9,102.090,-6.0,80.937,3.2,61.540,2.2,116.801,-6.3,203.000,-6.3
453210 - Office supplies and stationery stores,2002,,,,,,,,,,,,,61.623,8.1,121.517,-3.7,6317.476,-1.7,,,343.847,-3.7,,,,,,,,,,,,,,,,,,,,,74.883,4.2,120.634,-3.7,20961.000,0.4,133.948,-5.7,100.304,-1.7,82.543,2.0,67.189,9.2,111.450,-4.6,193.700,-4.6
453210 - Office supplies and stationery stores,2003,,,,,,,,,,,,,72.162,17.1,109.838,-9.6,6391.051,1.2,,,310.799,-9.6,,,,,,,,,,,,,,,,,,,,,79.261,5.8,114.274,-5.3,21017.000,0.3,128.021,-4.4,101.472,1.2,92.383,11.9,73.470,9.3,107.883,-3.2,187.500,-3.2
453210 - Office supplies and stationery stores,2004,,,,,,,,,,,,,80.136,11.1,107.086,-2.5,6311.203,-1.2,,,303.014,-2.5,,,,,,,,,,,,,,,,,,,,,85.814,8.3,108.902,-4.7,21685.000,3.2,116.768,-8.8,100.204,-1.2,93.573,1.3,81.634,11.1,105.121,-2.6,182.700,-2.6
453210 - Office supplies and stationery stores,2005,,,,,,,,,,,,,82.485,2.9,110.300,3.0,6488.488,2.8,,,312.106,3.0,,,,,,,,,,,,,,,,,,,,,90.981,6.0,104.978,-3.6,22162.000,2.2,113.231,-3.0,103.019,2.8,93.399,-0.2,83.487,2.3,108.976,3.7,189.400,3.7
453210 - Office supplies and stationery stores,2006,,,,,,,,,,,,,94.936,15.1,101.725,-7.8,6258.002,-3.6,,,287.843,-7.8,,,,,,,,,,,,,,,,,,,,,96.573,6.1,101.692,-3.1,22788.000,2.8,102.885,-9.1,99.359,-3.6,97.675,4.6,94.720,13.5,101.956,-6.4,177.200,-6.4
453210 - Office supplies and stationery stores,2007,,,,,,,,,,,,,100.000,5.3,100.000,-1.7,6298.356,0.6,,,282.962,-1.7,,,,,,,,,,,,,,,,,,,,,100.000,3.5,100.000,-1.7,23204.000,1.8,100.000,-2.8,100.000,0.6,100.000,2.4,100.000,5.6,100.000,-1.9,173.800,-1.9
453210 - Office supplies and stationery stores,2008,,,,,,,,,,,,,99.699,-0.3,94.536,-5.5,5717.609,-9.2,,,267.500,-5.5,,,,,,,,,,,,,,,,,,,,,94.251,-5.7,97.266,-2.7,21272.000,-8.3,96.317,-3.7,90.779,-9.2,96.027,-4.0,101.492,1.5,92.865,-7.1,161.400,-7.1
453210 - Office supplies and stationery stores,2009,,,,,,,,,,,,,101.865,2.2,86.998,-8.0,5289.427,-7.5,,,246.170,-8.0,,,,,,,,,,,,,,,,,,,,,88.621,-6.0,94.327,-3.0,19397.000,-8.8,94.765,-1.6,83.981,-7.5,96.533,0.5,100.603,-0.9,88.090,-5.1,153.100,-5.1
453210 - Office supplies and stationery stores,2010,,,,,,,,,,,,,101.838,0.0,86.277,-0.8,5427.258,2.6,,,244.130,-0.8,,,,,,,,,,,,,,,,,,,,,87.862,-0.9,92.086,-2.4,18774.000,-3.2,98.073,3.5,86.169,2.6,99.876,3.5,102.280,1.7,85.903,-2.5,149.300,-2.5
453210 - Office supplies and stationery stores,2011,,,,,,,,,,,,,98.364,-3.4,88.724,2.8,5433.913,0.1,,,251.055,2.8,,,,,,,,,,,,,,,,,,,,,87.273,-0.7,89.464,-2.8,18117.000,-3.5,98.857,0.8,86.275,0.1,97.240,-2.6,101.798,-0.5,85.731,-0.2,149.000,-0.2
453210 - Office supplies and stationery stores,2012,,,,,,,,,,,,,95.611,-2.8,90.078,1.5,5280.686,-2.8,,,254.886,1.5,,,,,,,,,,,,,,,,,,,,,86.124,-1.3,87.074,-2.7,17401.000,-4.0,97.351,-1.5,83.842,-2.8,93.078,-4.3,103.444,1.6,83.257,-2.9,144.700,-2.9
453210 - Office supplies and stationery stores,2013,,,,,,,,,,,,,98.353,2.9,86.624,-3.8,5058.099,-4.2,,,245.113,-3.8,,,,,,,,,,,,,,,,,,,,,85.197,-1.1,83.706,-3.9,16548.000,-4.9,94.261,-3.2,80.308,-4.2,92.709,-0.4,109.118,5.5,78.078,-6.2,135.700,-6.2
453210 - Office supplies and stationery stores,2014,,,,,,,,,,,,,104.829,6.6,79.563,-8.2,4949.558,-2.1,,,225.132,-8.2,,,,,,,,,,,,,,,,,,,,,83.405,-2.1,80.922,-3.3,15661.000,-5.4,94.221,0.0,78.585,-2.1,98.771,6.5,111.506,2.2,74.799,-4.2,130.000,-4.2
453210 - Office supplies and stationery stores,2015,,,,,,,,,,,,,105.572,0.7,77.475,-2.6,4943.392,-0.1,,,219.225,-2.6,,,,,,,,,,,,,,,,,,,,,81.792,-1.9,76.316,-5.7,14484.000,-7.5,95.959,1.8,78.487,-0.1,101.306,2.6,113.181,1.5,72.267,-3.4,125.600,-3.4
453210 - Office supplies and stationery stores,2016,,,,,,,,,,,,,126.625,19.9,62.214,-19.7,4757.252,-3.8,,,176.042,-19.7,,,,,,,,,,,,,,,,,,,,,78.778,-3.7,72.665,-4.8,13283.000,-8.3,95.879,-0.1,75.532,-3.8,121.406,19.8,117.829,4.1,66.858,-7.5,116.200,-7.5
453210 - Office supplies and stationery stores,2017,,,,,,,,,,,,,128.205,1.2,57.468,-7.6,4516.959,-5.1,,,162.614,-7.6,,,,,,,,,,,,,,,,,,,,,73.677,-6.5,71.718,-1.3,12261.000,-7.7,97.339,1.5,71.716,-5.1,124.793,2.8,117.263,-0.5,62.831,-6.0,109.200,-6.0
453210 - Office supplies and stationery stores,2018,,,,,,,,,,,,,124.970,-2.5,55.596,-3.3,4408.180,-2.4,,,157.315,-3.3,,,,,,,,,,,,,,,,,,,,,69.478,-5.7,70.483,-1.7,11363.000,-7.3,100.736,3.5,69.989,-2.4,125.890,0.9,113.918,-2.9,60.990,-2.9,106.000,-2.9
453210 - Office supplies and stationery stores,2019,,,,,,,,,,,,,114.944,-8.0,56.967,2.5,4409.603,0.0,,,161.195,2.5,,,,,,,,,,,,,,,,,,,,,65.480,-5.8,70.547,0.1,10719.000,-5.7,106.921,6.1,70.012,0.0,122.899,-2.4,112.789,-1.0,58.055,-4.8,100.900,-4.8
453210 - Office supplies and stationery stores,2020,,,,,,,,,,,,,139.944,21.7,43.576,-23.5,4086.462,-7.3,,,123.304,-23.5,,,,,,,,,,,,,,,,,,,,,60.982,-6.9,71.497,1.3,10117.000,-5.6,106.394,-0.5,64.881,-7.3,148.892,21.1,123.528,9.5,49.367,-15.0,85.800,-15.0
"453220 - Gift, novelty, and souvenir stores",1987,,,,,,,,,,,,,49.630,,101.641,,2721.586,,,,307.119,,,,,,,,,,,,,,,,,,,,,,50.444,,94.323,,8584.000,,114.265,,57.640,,56.709,,54.582,,92.420,,215.800,
"453220 - Gift, novelty, and souvenir stores",1988,,,,,,,,,,,,,50.263,1.3,112.057,10.2,2729.754,0.3,,,338.593,10.2,,,,,,,,,,,,,,,,,,,,,56.323,11.7,96.612,2.4,9817.000,14.4,102.645,-10.2,57.813,0.3,51.592,-9.0,56.323,3.2,100.000,8.2,233.500,8.2
"453220 - Gift, novelty, and souvenir stores",1989,,,,,,,,,,,,,52.473,4.4,117.697,5.0,2962.093,8.5,,,355.634,5.0,,,,,,,,,,,,,,,,,,,,,61.759,9.7,99.713,3.2,11110.000,13.2,101.577,-1.0,62.733,8.5,53.301,3.3,59.394,5.5,103.983,4.0,242.800,4.0
"453220 - Gift, novelty, and souvenir stores",1990,,,,,,,,,,,,,51.020,-2.8,117.403,-0.2,3014.032,1.8,,,354.748,-0.2,,,,,,,,,,,,,,,,,,,,,59.899,-3.0,102.792,3.1,11108.000,0.0,106.569,4.9,63.833,1.8,54.371,2.0,57.557,-3.1,104.069,0.1,243.000,0.1
"453220 - Gift, novelty, and souvenir stores",1991,,,,,,,,,,,,,51.999,1.9,115.964,-1.2,3212.034,6.6,,,350.398,-1.2,,,,,,,,,,,,,,,,,,,,,60.300,0.7,104.800,2.0,11401.000,2.6,112.813,5.9,68.027,6.6,58.662,7.9,57.824,0.5,104.283,0.2,243.500,0.2
"453220 - Gift, novelty, and souvenir stores",1992,,,,,,,,,,,,,55.904,7.5,114.591,-1.2,3339.109,4.0,,,346.249,-1.2,,,,,,,,,,,,,,,,,,,,,64.061,6.2,105.838,1.0,12232.000,7.3,110.391,-2.1,70.718,4.0,61.714,5.2,60.831,5.2,105.310,1.0,245.900,1.0
"453220 - Gift, novelty, and souvenir stores",1993,,,,,,,,,,,,,54.082,-3.3,123.581,7.8,3614.866,8.3,,,373.413,7.8,,,,,,,,,,,,,,,,,,,,,66.835,4.3,105.733,-0.1,12749.000,4.2,114.548,3.8,76.558,8.3,61.950,0.4,60.231,-1.0,110.964,5.4,259.100,5.4
"453220 - Gift, novelty, and souvenir stores",1994,,,,,,,,,,,,,58.031,7.3,126.076,2.0,3656.253,1.1,,,380.953,2.0,,,,,,,,,,,,,,,,,,,,,73.164,9.5,105.368,-0.3,13908.000,9.1,105.838,-7.6,77.435,1.1,61.419,-0.9,64.056,6.4,114.218,2.9,266.700,2.9
"453220 - Gift, novelty, and souvenir stores",1995,,,,,,,,,,,,,56.857,-2.0,133.423,5.8,4046.068,10.7,,,403.152,5.8,,,,,,,,,,,,,,,,,,,,,75.860,3.7,105.971,0.6,14503.000,4.3,112.959,6.7,85.691,10.7,64.225,4.6,63.194,-1.3,120.043,5.1,280.300,5.1
"453220 - Gift, novelty, and souvenir stores",1996,,,,,,,,,,,,,59.011,3.8,134.647,0.9,4171.162,3.1,,,406.852,0.9,,,,,,,,,,,,,,,,,,,,,79.456,4.7,106.713,0.7,15297.000,5.5,111.180,-1.6,88.340,3.1,65.608,2.2,64.758,2.5,122.698,2.2,286.500,2.2
"453220 - Gift, novelty, and souvenir stores",1997,,,,,,,,,,,,,61.603,4.4,138.417,2.8,4535.901,8.7,,,418.242,2.8,,,,,,,,,,,,,,,,,,,,,85.269,7.3,106.173,-0.5,16333.000,6.8,112.661,1.3,96.065,8.7,69.402,5.8,67.630,4.4,126.081,2.8,294.400,2.8
"453220 - Gift, novelty, and souvenir stores",1998,,,,,,,,,,,,,66.447,7.9,137.621,-0.6,4899.931,8.0,,,415.837,-0.6,,,,,,,,,,,,,,,,,,,,,91.445,7.2,106.670,0.5,17598.000,7.7,113.482,0.7,103.774,8.0,75.406,8.7,71.773,6.1,127.409,1.1,297.500,1.1
"453220 - Gift, novelty, and souvenir stores",1999,,,,,,,,,,,,,65.884,-0.8,145.209,5.5,5448.141,11.2,,,438.765,5.5,,,,,,,,,,,,,,,,,,,,,95.670,4.6,106.641,0.0,18406.000,4.6,120.607,6.3,115.385,11.2,79.461,5.4,71.234,-0.8,134.304,5.4,313.600,5.4
"453220 - Gift, novelty, and souvenir stores",2000,,,,,,,,,,,,,66.799,1.4,146.076,0.6,5476.010,0.5,,,441.385,0.6,,,,,,,,,,,,,,,,,,,,,97.577,2.0,107.391,0.7,18905.000,2.7,118.854,-1.5,115.975,0.5,79.393,-0.1,71.875,0.9,135.760,1.1,317.000,1.1
"453220 - Gift, novelty, and souvenir stores",2001,,,,,,,,,,,,,69.498,4.0,137.144,-6.1,5790.874,5.7,,,414.397,-6.1,,,,,,,,,,,,,,,,,,,,,95.312,-2.3,107.588,0.2,18500.000,-2.1,128.675,8.3,122.643,5.7,89.426,12.6,72.517,0.9,131.435,-3.2,306.900,-3.2
"453220 - Gift, novelty, and souvenir stores",2002,,,,,,,,,,,,,72.735,4.7,129.191,-5.8,5094.375,-12.0,,,390.366,-5.8,,,,,,,,,,,,,,,,,,,,,93.968,-1.4,106.555,-1.0,18064.000,-2.4,114.818,-10.8,107.892,-12.0,83.514,-6.6,75.556,4.2,124.368,-5.4,290.400,-5.4
"453220 - Gift, novelty, and souvenir stores",2003,,,,,,,,,,,,,73.856,1.5,128.207,-0.8,5238.546,2.8,,,387.391,-0.8,,,,,,,,,,,,,,,,,,,,,94.688,0.8,103.538,-2.8,17687.000,-2.1,117.170,2.0,110.946,2.8,86.537,3.6,78.963,4.5,119.914,-3.6,280.000,-3.6
"453220 - Gift, novelty, and souvenir stores",2004,,,,,,,,,,,,,82.206,11.3,116.799,-8.9,4833.674,-7.7,,,352.921,-8.9,,,,,,,,,,,,,,,,,,,,,96.016,1.4,101.800,-1.7,17634.000,-0.3,106.619,-9.0,102.371,-7.7,87.647,1.3,84.095,6.5,114.176,-4.8,266.600,-4.8
"453220 - Gift, novelty, and souvenir stores",2005,,,,,,,,,,,,,87.337,6.2,110.581,-5.3,4640.844,-4.0,,,334.132,-5.3,,,,,,,,,,,,,,,,,,,,,96.577,0.6,101.087,-0.7,17613.000,-0.1,101.770,-4.5,98.287,-4.0,88.883,1.4,88.365,5.1,109.293,-4.3,255.200,-4.3
"453220 - Gift, novelty, and souvenir stores",2006,,,,,,,,,,,,,95.572,9.4,107.212,-3.0,4813.211,3.7,,,323.953,-3.0,,,,,,,,,,,,,,,,,,,,,102.465,6.1,100.088,-1.0,18502.000,5.0,99.485,-2.2,101.938,3.7,95.080,7.0,98.744,11.7,103.769,-5.1,242.300,-5.1
"453220 - Gift, novelty, and souvenir stores",2007,,,,,,,,,,,,,100.000,4.6,100.000,-6.7,4721.720,-1.9,,,302.161,-6.7,,,,,,,,,,,,,,,,,,,,,100.000,-2.4,100.000,-0.1,18041.000,-2.5,100.000,0.5,100.000,-1.9,100.000,5.2,100.000,1.3,100.000,-3.6,233.500,-3.6
"453220 - Gift, novelty, and souvenir stores",2008,,,,,,,,,,,,,95.843,-4.2,96.196,-3.8,4556.970,-3.5,,,290.667,-3.8,,,,,,,,,,,,,,,,,,,,,92.197,-7.8,101.093,1.1,16815.000,-6.8,104.679,4.7,96.511,-3.5,100.327,0.3,95.893,-4.1,96.146,-3.9,224.500,-3.9
"453220 - Gift, novelty, and souvenir stores",2009,,,,,,,,,,,,,98.596,2.9,83.215,-13.5,4341.693,-4.7,,,251.445,-13.5,,,,,,,,,,,,,,,,,,,,,82.047,-11.0,101.884,0.8,15081.000,-10.3,112.072,7.1,91.952,-4.7,110.498,10.1,95.077,-0.9,86.296,-10.2,201.500,-10.2
"453220 - Gift, novelty, and souvenir stores",2010,,,,,,,,,,,,,111.044,12.6,77.127,-7.3,4271.078,-1.6,,,233.047,-7.3,,,,,,,,,,,,,,,,,,,,,85.645,4.4,100.549,-1.3,15536.000,3.0,105.618,-5.8,90.456,-1.6,117.282,6.1,107.864,13.4,79.400,-8.0,185.400,-8.0
"453220 - Gift, novelty, and souvenir stores",2011,,,,,,,,,,,,,130.086,17.1,67.530,-12.4,3732.274,-12.6,,,204.048,-12.4,,,,,,,,,,,,,,,,,,,,,87.847,2.6,100.742,0.2,15966.000,2.8,89.981,-14.8,79.045,-12.6,117.052,-0.2,117.548,9.0,74.732,-5.9,174.500,-5.9
"453220 - Gift, novelty, and souvenir stores",2012,,,,,,,,,,,,,122.028,-6.2,72.345,7.1,3886.413,4.1,,,218.598,7.1,,,,,,,,,,,,,,,,,,,,,88.281,0.5,100.793,0.1,16053.000,0.5,93.236,3.6,82.309,4.1,113.774,-2.8,113.761,-3.2,77.602,3.8,181.200,3.8
"453220 - Gift, novelty, and souvenir stores",2013,,,,,,,,,,,,,125.991,3.2,72.976,0.9,3932.163,1.2,,,220.504,0.9,,,,,,,,,,,,,,,,,,,,,91.943,4.1,99.763,-1.0,16548.000,3.1,90.576,-2.9,83.278,1.2,114.118,0.3,120.543,6.0,76.274,-1.7,178.100,-1.7
"453220 - Gift, novelty, and souvenir stores",2014,,,,,,,,,,,,,128.380,1.9,74.727,2.4,3865.636,-1.7,,,225.797,2.4,,,,,,,,,,,,,,,,,,,,,95.935,4.3,98.373,-1.4,17026.000,2.9,85.338,-5.8,81.869,-1.7,109.557,-4.0,126.989,5.3,75.546,-1.0,176.400,-1.0
"453220 - Gift, novelty, and souvenir stores",2015,,,,,,,,,,,,,132.736,3.4,75.399,0.9,4109.776,6.3,,,227.828,0.9,,,,,,,,,,,,,,,,,,,,,100.082,4.3,96.850,-1.5,17487.000,2.7,86.968,1.9,87.040,6.3,115.438,5.4,132.553,4.4,75.503,-0.1,176.300,-0.1
"453220 - Gift, novelty, and souvenir stores",2016,,,,,,,,,,,,,146.211,10.2,70.481,-6.5,4067.157,-1.0,,,212.966,-6.5,,,,,,,,,,,,,,,,,,,,,103.051,3.0,95.899,-1.0,17829.000,2.0,83.587,-3.9,86.137,-1.0,122.214,5.9,139.653,5.4,73.790,-2.3,172.300,-2.3
"453220 - Gift, novelty, and souvenir stores",2017,,,,,,,,,,,,,161.625,10.5,64.416,-8.6,4208.351,3.5,,,194.639,-8.6,,,,,,,,,,,,,,,,,,,,,104.112,1.0,94.768,-1.2,17800.000,-0.2,85.608,2.4,89.128,3.5,138.363,13.2,145.395,4.1,71.606,-3.0,167.200,-3.0
"453220 - Gift, novelty, and souvenir stores",2018,,,,,,,,,,,,,182.223,12.7,62.943,-2.3,4007.741,-4.8,,,190.190,-2.3,,,,,,,,,,,,,,,,,,,,,114.697,10.2,91.632,-3.3,18961.000,6.5,74.003,-13.6,84.879,-4.8,134.850,-2.5,171.020,17.6,67.066,-6.3,156.600,-6.3
"453220 - Gift, novelty, and souvenir stores",2019,,,,,,,,,,,,,192.066,5.4,57.991,-7.9,4114.986,2.7,,,175.226,-7.9,,,,,,,,,,,,,,,,,,,,,111.380,-2.9,90.589,-1.1,18203.000,-4.0,78.245,5.7,87.150,2.7,150.283,11.4,163.260,-4.5,68.223,1.7,159.300,1.7
"453220 - Gift, novelty, and souvenir stores",2020,,,,,,,,,,,,,165.982,-13.6,46.441,-19.9,2985.415,-27.5,,,140.327,-19.9,,,,,,,,,,,,,,,,,,,,,77.084,-30.8,90.999,0.5,12655.000,-30.5,82.024,4.8,63.227,-27.5,136.145,-9.4,152.148,-6.8,50.664,-25.7,118.300,-25.7
453310 - Used merchandise stores,1987,,,,,,,,,,,,,36.165,,81.147,,1845.438,,,,219.531,,,,,,,,,,,,,,,,,,,,,,29.347,,110.176,,3534.000,,166.525,,48.870,,60.224,,36.749,,79.857,,144.700,
453310 - Used merchandise stores,1988,,,,,,,,,,,,,38.167,5.5,85.207,5.0,2044.226,10.8,,,230.516,5.0,,,,,,,,,,,,,,,,,,,,,32.521,10.8,113.067,2.6,4019.000,13.7,166.458,0.0,54.134,10.8,63.532,5.5,38.948,6.0,83.499,4.6,151.300,4.6
453310 - Used merchandise stores,1989,,,,,,,,,,,,,39.088,2.4,89.499,5.0,2270.701,11.1,,,242.127,5.0,,,,,,,,,,,,,,,,,,,,,34.984,7.6,114.549,1.3,4380.000,9.0,171.884,3.3,60.131,11.1,67.186,5.8,39.130,0.5,89.404,7.1,162.000,7.1
453310 - Used merchandise stores,1990,,,,,,,,,,,,,39.649,1.4,88.294,-1.3,2268.831,-0.1,,,238.867,-1.3,,,,,,,,,,,,,,,,,,,,,35.008,0.1,117.449,2.5,4494.000,2.6,171.623,-0.2,60.082,-0.1,68.047,1.3,39.996,2.2,87.528,-2.1,158.600,-2.1
453310 - Used merchandise stores,1991,,,,,,,,,,,,,39.716,0.2,94.133,6.6,2457.941,8.3,,,254.662,6.6,,,,,,,,,,,,,,,,,,,,,37.385,6.8,119.108,1.4,4867.000,8.3,174.105,1.4,65.089,8.3,69.147,1.6,40.613,1.5,92.053,5.2,166.800,5.2
453310 - Used merchandise stores,1992,,,,,,,,,,,,,46.054,16.0,92.042,-2.2,2410.175,-1.9,,,249.007,-2.2,,,,,,,,,,,,,,,,,,,,,42.389,13.4,120.156,0.9,5567.000,14.4,150.568,-13.5,63.825,-1.9,69.343,0.3,45.693,12.5,92.770,0.8,168.100,0.8
453310 - Used merchandise stores,1993,,,,,,,,,,,,,44.654,-3.0,104.717,13.8,2726.403,13.1,,,283.296,13.8,,,,,,,,,,,,,,,,,,,,,46.761,10.3,120.056,-0.1,6136.000,10.2,154.401,2.5,72.199,13.1,68.947,-0.6,44.831,-1.9,104.305,12.4,189.000,12.4
